file,condition,session,task_i,CH1,CH3,CH4,D1,D2,D3,artifacts,triage,CH1_z
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,0,0,-24.72809,continue,POSITIVE,0,1,0,,within_ADS,0.347
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,0,1,-23.66261,continue,POSITIVE,1,1,1,,within_ADS,0.692
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,0,2,-23.51416,continue,POSITIVE,1,1,1,,within_ADS,0.74
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,0,3,-22.41201,continue,POSITIVE,0,1,0,,within_ADS,1.097
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,0,4,-17.34278,stop,POSITIVE,0,1,0,,within_ADS,2.738
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,1,0,-24.72809,continue,POSITIVE,0,1,0,,within_ADS,0.347
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,1,1,-23.66261,continue,POSITIVE,1,1,1,,within_ADS,0.692
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,1,2,-23.51416,continue,POSITIVE,1,1,1,,within_ADS,0.74
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,1,3,-22.41201,continue,POSITIVE,0,1,0,,within_ADS,1.097
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,1,4,-17.34278,stop,POSITIVE,0,1,0,,within_ADS,2.738
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,2,0,-24.72809,continue,POSITIVE,0,1,0,,within_ADS,0.347
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,2,1,-23.66261,continue,POSITIVE,1,1,1,,within_ADS,0.692
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,2,2,-23.51416,continue,POSITIVE,1,1,1,,within_ADS,0.74
trace_D1_discriminator_20260814_133317.jsonl,D1_discriminator,2,3,-22.41201,continue,POSITIVE,0,1,0,,within_ADS,1.097
